Chemical Identifiers,Descriptors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Output,
SMILES,averagemolecularpolarizability_pH_7.4,formalcharge_pH_6.5,tholepolarizability_a_xx_pH_7.4,tholepolarizability_a_yy_pH_7.4,tholepolarizability_a_zz_pH_7.4,atomcount,exactmass,aliphaticatomcount,aromaticatomcount,balabanindex,chainatomcount,dreidingenergy,fusedaliphaticringcount,hararyindex,heteroaromaticringcount,hyperwienerindex,maximalprojectionarea,maximalprojectionradius,maximalprojectionsize,minimalprojectionarea,minimalprojectionradius,ringatomcount,rotatablebondcount,smallestringsize,aliphaticringcountofsize_5,aromaticringcountofsize_5,polarsurfacearea_pH_7.4,asa_ASA_pH_7.4,asa_ASA+_pH_7.4,asa_ASA-_pH_7.4,asa_ASA_H_pH_7.4,asa_ASA_P_pH_7.4,logp,logd_pH_6.5,isoelectricpoint,apKa1,apKb1,averagemicrospeciescharge_Charge_pH_6.5,resonantcount,acceptorcount_pH_7.4,acceptorsitecount_pH_7.4,donorsitecount_pH_6.5,hmopienergy_pH_7.4, IC 50,
Br.Br.O=C(NC1=CC=C2C=CC=NC2=C1)C3=CC=C(C4=CC=CC=C4)C(CN5CCCCC5)=C3,48.22,1.0,59.63,53.72,31.32,59.0,421.2,10.0,22.0,1.17,4.0,175.7,0.0,129.8,1.0,14450.0,121.3,9.92,8.93,57.83,5.05,28.0,5.0,6.0,0.0,0.0,46.43,624.0,433.1,191.0,577.3,46.74,5.66,3.41,9.98,11.18,8.77,1.0,92.0,2.0,3.0,2.0,37.93,23,
BrC1=CC=C(N2C=C(CN3CCC4=C(NC5=CC=CC=C45)C3)N=N2)C=C1,41.16,0.0,31.33,35.8,56.36,44.0,407.1,6.0,20.0,1.1,2.0,119.2,0.0,96.78,2.0,8318.0,102.7,9.29,8.08,52.48,5.15,24.0,3.0,5.0,0.0,2.0,49.74,569.6,353.6,215.9,530.8,38.8,4.25,4.24,10.73,16.45,5.02,0.03,170.0,3.0,3.0,1.0,34.62,788,
C#CC1=CC(CNC(=O)CCCCCCCC)=CC(OC)=C1O,37.49,0.0,38.56,43.97,29.93,50.0,317.2,17.0,6.0,2.08,17.0,85.14,0.0,72.68,0.0,7031.0,103.6,10.1,9.01,52.71,5.52,6.0,10.0,6.0,0.0,0.0,58.56,659.0,489.1,170.0,576.7,82.3,3.98,3.98,4.51,9.55,-0.52,0.0,3.0,3.0,4.0,2.0,25.59,2740,
C#CC1=CC=C(C(=O)NC2=CC=C3SC(CO)=NC3=C2)C=C1,33.22,0.0,51.05,30.62,17.98,34.0,308.1,7.0,15.0,1.44,7.0,117.8,0.0,74.03,1.0,4695.0,95.68,9.62,5.3,35.22,4.49,15.0,3.0,5.0,0.0,1.0,62.22,505.6,325.8,179.8,405.1,100.6,2.66,2.66,6.08,10.85,1.32,0.0,198.0,3.0,4.0,2.0,35.73,175.4,
CC(=CC1=CC=C(C(C)(C)C)C=C1)C(=O)NC2=CC=C3C(=C2)OCCO3,40.74,0.0,57.89,37.95,26.38,51.0,351.2,14.0,12.0,1.39,10.0,185.7,0.0,93.1,0.0,8950.0,105.4,9.98,6.74,41.34,4.24,16.0,4.0,6.0,0.0,0.0,47.56,609.8,451.9,157.9,550.3,59.44,5.02,5.02,6.54,14.45,-1.37,0.0,11.0,3.0,4.0,1.0,34.35,600,
CC=C(NC(=O)C(C)NC(=O)C(NC(=O)C(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=CC=C2)NC(C)=O)C(C)O)C(C)C)C(=O)O,86.01,-1.0,93.53,90.24,74.26,118.0,821.4,47.0,12.0,2.25,47.0,280.2,0.0,297.3,0.0,117000.0,205.2,14.17,12.64,106.3,7.58,12.0,22.0,6.0,0.0,0.0,264.1,1098.0,748.6,349.4,908.2,189.7,1.19,-1.35,1.25,3.92,0.0,-1.0,198.0,10.0,19.0,8.0,74.77,1665000,
CC=CCOC1=NC(C(F)(F)F)=CC=C1CNC(=O)C(C)C2=CC=C(NS(C)(=O)=O)C(F)=C2,44.63,0.0,45.56,51.03,37.3,56.0,489.1,21.0,12.0,1.81,21.0,229.6,0.0,129.4,1.0,19140.0,125.6,10.1,7.69,55.94,5.76,12.0,9.0,6.0,0.0,0.0,94.59,759.6,433.1,326.5,512.3,247.3,3.41,3.32,2.98,7.05,-1.08,-0.22,117.0,6.0,9.0,2.0,59.84,183,
CC=C1NC(=O)C(C)NC(=O)C(C(C)C)NC(=O)C(NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CC3=CC=CC=C3)NC(C)=O)C(C)OC1=O,84.2,0.0,77.2,82.42,92.99,115.0,803.4,46.0,12.0,1.9,33.0,504.1,0.0,303.9,0.0,89360.0,184.3,11.62,12.61,108.8,6.52,25.0,14.0,6.0,0.0,0.0,230.0,1056.0,758.0,298.3,935.1,121.1,2.09,2.09,4.51,10.72,0.0,0.0,198.0,8.0,16.0,7.0,72.29,1320000,
CC1(C(F)(F)F)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=CC=C4O1,39.84,0.0,27.88,41.97,49.68,50.0,419.1,18.0,12.0,1.24,10.0,146.4,0.0,120.9,0.0,11070.0,101.6,8.76,8.38,55.9,5.19,20.0,3.0,6.0,0.0,0.0,79.46,552.2,337.0,215.2,400.2,152.0,3.45,3.45,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,53.42,280,
CC1(C(F)(F)F)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC=CC=C4O1,38.71,0.0,26.75,40.55,48.82,48.0,421.1,18.0,12.0,1.24,10.0,146.1,0.0,120.9,0.0,11070.0,99.26,8.73,8.94,55.04,5.38,20.0,3.0,6.0,0.0,0.0,88.69,552.6,339.7,212.9,377.3,175.3,2.69,2.69,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,57.72,330,
